best_x,best_y,best_z,iters,n_particle,v_max,inertia_w,accel_c1,accel_c2
0.089856,-0.712705,-1.031628,69,25,4.100000,0.700000,1.500000,1.500000
0.089588,-0.712692,-1.031628,49,25,4.200000,0.700000,1.500000,1.500000
0.089840,-0.712679,-1.031628,63,25,4.300000,0.700000,1.500000,1.500000
0.089874,-0.712630,-1.031628,68,25,4.400000,0.700000,1.500000,1.500000
0.089807,-0.712653,-1.031628,68,25,4.500000,0.700000,1.500000,1.500000
0.089829,-0.712634,-1.031628,60,25,4.600000,0.700000,1.500000,1.500000
0.089810,-0.712612,-1.031628,55,25,4.700000,0.700000,1.500000,1.500000
0.089858,-0.712626,-1.031628,56,25,4.800000,0.700000,1.500000,1.500000
-0.089840,0.712656,-1.031628,69,25,4.900000,0.700000,1.500000,1.500000
0.089828,-0.712658,-1.031628,58,25,5.000000,0.700000,1.500000,1.500000
-0.089779,0.712450,-1.031628,46,25,2.000000,0.000000,1.500000,1.500000
-0.089842,0.712656,-1.031628,31,25,2.000000,0.100000,1.500000,1.500000
-0.089842,0.712656,-1.031628,35,25,2.000000,0.200000,1.500000,1.500000
0.089843,-0.712656,-1.031628,30,25,2.000000,0.300000,1.500000,1.500000
0.089842,-0.712656,-1.031628,40,25,2.000000,0.400000,1.500000,1.500000
0.089839,-0.712658,-1.031628,41,25,2.000000,0.500000,1.500000,1.500000
-0.089862,0.712644,-1.031628,40,25,2.000000,0.600000,1.500000,1.500000
-0.089882,0.712677,-1.031628,61,25,2.000000,0.700000,1.500000,1.500000
-0.089812,0.712666,-1.031628,111,25,2.000000,0.800000,1.500000,1.500000
-0.083380,0.719828,-1.030994,80,25,2.000000,0.900000,1.500000,1.500000
-0.104698,0.720125,-1.030420,49,25,2.000000,1.000000,1.500000,1.500000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.000000,0.000000
0.089845,-0.712671,-1.031628,63,25,2.000000,0.700000,0.000000,0.100000
-0.089842,0.712660,-1.031628,60,25,2.000000,0.700000,0.000000,0.200000
0.089875,-0.712671,-1.031628,58,25,2.000000,0.700000,0.000000,0.300000
0.089842,-0.712657,-1.031628,53,25,2.000000,0.700000,0.000000,0.400000
0.089849,-0.712653,-1.031628,59,25,2.000000,0.700000,0.000000,0.500000
0.089884,-0.712719,-1.031628,48,25,2.000000,0.700000,0.000000,0.600000
0.089846,-0.712656,-1.031628,57,25,2.000000,0.700000,0.000000,0.700000
-0.089741,0.712632,-1.031628,58,25,2.000000,0.700000,0.000000,0.800000
-0.089819,0.712676,-1.031628,62,25,2.000000,0.700000,0.000000,0.900000
-0.089842,0.712661,-1.031628,60,25,2.000000,0.700000,0.000000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.100000,0.000000
0.089958,-0.712721,-1.031628,48,25,2.000000,0.700000,0.100000,0.100000
-0.089838,0.712656,-1.031628,52,25,2.000000,0.700000,0.100000,0.200000
0.089846,-0.712669,-1.031628,52,25,2.000000,0.700000,0.100000,0.300000
0.089852,-0.712668,-1.031628,51,25,2.000000,0.700000,0.100000,0.400000
0.089864,-0.712668,-1.031628,54,25,2.000000,0.700000,0.100000,0.500000
-0.089848,0.712673,-1.031628,53,25,2.000000,0.700000,0.100000,0.600000
0.089838,-0.712658,-1.031628,59,25,2.000000,0.700000,0.100000,0.700000
-0.089851,0.712648,-1.031628,57,25,2.000000,0.700000,0.100000,0.800000
-0.089842,0.712660,-1.031628,57,25,2.000000,0.700000,0.100000,0.900000
-0.089839,0.712651,-1.031628,58,25,2.000000,0.700000,0.100000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.200000,0.000000
0.089842,-0.712656,-1.031628,76,25,2.000000,0.700000,0.200000,0.100000
-0.089828,0.712659,-1.031628,52,25,2.000000,0.700000,0.200000,0.200000
0.089850,-0.712656,-1.031628,51,25,2.000000,0.700000,0.200000,0.300000
0.089854,-0.712658,-1.031628,51,25,2.000000,0.700000,0.200000,0.400000
0.089846,-0.712656,-1.031628,58,25,2.000000,0.700000,0.200000,0.500000
-0.089843,0.712659,-1.031628,59,25,2.000000,0.700000,0.200000,0.600000
0.089831,-0.712647,-1.031628,57,25,2.000000,0.700000,0.200000,0.700000
-0.089837,0.712655,-1.031628,56,25,2.000000,0.700000,0.200000,0.800000
0.089850,-0.712647,-1.031628,57,25,2.000000,0.700000,0.200000,0.900000
-0.089874,0.712681,-1.031628,48,25,2.000000,0.700000,0.200000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.300000,0.000000
0.089839,-0.712652,-1.031628,68,25,2.000000,0.700000,0.300000,0.100000
-0.089837,0.712660,-1.031628,48,25,2.000000,0.700000,0.300000,0.200000
0.089842,-0.712653,-1.031628,55,25,2.000000,0.700000,0.300000,0.300000
0.089827,-0.712686,-1.031628,48,25,2.000000,0.700000,0.300000,0.400000
0.089846,-0.712654,-1.031628,55,25,2.000000,0.700000,0.300000,0.500000
-0.089834,0.712639,-1.031628,53,25,2.000000,0.700000,0.300000,0.600000
-0.089824,0.712671,-1.031628,48,25,2.000000,0.700000,0.300000,0.700000
-0.089839,0.712656,-1.031628,57,25,2.000000,0.700000,0.300000,0.800000
-0.089839,0.712659,-1.031628,64,25,2.000000,0.700000,0.300000,0.900000
-0.089837,0.712653,-1.031628,57,25,2.000000,0.700000,0.300000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.400000,0.000000
0.089840,-0.712658,-1.031628,72,25,2.000000,0.700000,0.400000,0.100000
-0.089844,0.712660,-1.031628,50,25,2.000000,0.700000,0.400000,0.200000
0.089839,-0.712658,-1.031628,56,25,2.000000,0.700000,0.400000,0.300000
0.089847,-0.712666,-1.031628,50,25,2.000000,0.700000,0.400000,0.400000
0.089845,-0.712650,-1.031628,54,25,2.000000,0.700000,0.400000,0.500000
-0.089835,0.712660,-1.031628,56,25,2.000000,0.700000,0.400000,0.600000
0.089841,-0.712656,-1.031628,59,25,2.000000,0.700000,0.400000,0.700000
-0.089865,0.712676,-1.031628,50,25,2.000000,0.700000,0.400000,0.800000
-0.089834,0.712651,-1.031628,54,25,2.000000,0.700000,0.400000,0.900000
-0.089879,0.712694,-1.031628,50,25,2.000000,0.700000,0.400000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.500000,0.000000
-0.089820,0.712659,-1.031628,71,25,2.000000,0.700000,0.500000,0.100000
-0.089844,0.712656,-1.031628,62,25,2.000000,0.700000,0.500000,0.200000
0.089828,-0.712651,-1.031628,55,25,2.000000,0.700000,0.500000,0.300000
0.089836,-0.712660,-1.031628,52,25,2.000000,0.700000,0.500000,0.400000
0.089846,-0.712658,-1.031628,50,25,2.000000,0.700000,0.500000,0.500000
-0.089971,0.712674,-1.031628,46,25,2.000000,0.700000,0.500000,0.600000
0.089839,-0.712657,-1.031628,55,25,2.000000,0.700000,0.500000,0.700000
-0.089829,0.712658,-1.031628,55,25,2.000000,0.700000,0.500000,0.800000
-0.089836,0.712653,-1.031628,50,25,2.000000,0.700000,0.500000,0.900000
-0.089836,0.712661,-1.031628,54,25,2.000000,0.700000,0.500000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.600000,0.000000
0.089841,-0.712664,-1.031628,69,25,2.000000,0.700000,0.600000,0.100000
-0.089846,0.712657,-1.031628,59,25,2.000000,0.700000,0.600000,0.200000
0.089846,-0.712649,-1.031628,53,25,2.000000,0.700000,0.600000,0.300000
0.089848,-0.712641,-1.031628,47,25,2.000000,0.700000,0.600000,0.400000
0.089759,-0.712652,-1.031628,42,25,2.000000,0.700000,0.600000,0.500000
-0.089851,0.712664,-1.031628,52,25,2.000000,0.700000,0.600000,0.600000
0.089950,-0.712640,-1.031628,44,25,2.000000,0.700000,0.600000,0.700000
-0.089858,0.712669,-1.031628,56,25,2.000000,0.700000,0.600000,0.800000
0.089840,-0.712662,-1.031628,51,25,2.000000,0.700000,0.600000,0.900000
-0.089843,0.712658,-1.031628,61,25,2.000000,0.700000,0.600000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.700000,0.000000
0.089845,-0.712660,-1.031628,67,25,2.000000,0.700000,0.700000,0.100000
-0.089841,0.712657,-1.031628,65,25,2.000000,0.700000,0.700000,0.200000
0.089861,-0.712660,-1.031628,51,25,2.000000,0.700000,0.700000,0.300000
0.089844,-0.712657,-1.031628,53,25,2.000000,0.700000,0.700000,0.400000
0.089835,-0.712655,-1.031628,55,25,2.000000,0.700000,0.700000,0.500000
-0.089841,0.712659,-1.031628,44,25,2.000000,0.700000,0.700000,0.600000
0.089840,-0.712657,-1.031628,52,25,2.000000,0.700000,0.700000,0.700000
-0.089829,0.712649,-1.031628,57,25,2.000000,0.700000,0.700000,0.800000
-0.089840,0.712656,-1.031628,60,25,2.000000,0.700000,0.700000,0.900000
-0.089845,0.712660,-1.031628,56,25,2.000000,0.700000,0.700000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.800000,0.000000
-0.089842,0.712657,-1.031628,65,25,2.000000,0.700000,0.800000,0.100000
-0.089844,0.712657,-1.031628,55,25,2.000000,0.700000,0.800000,0.200000
0.089848,-0.712653,-1.031628,57,25,2.000000,0.700000,0.800000,0.300000
0.089866,-0.712641,-1.031628,51,25,2.000000,0.700000,0.800000,0.400000
0.089828,-0.712647,-1.031628,48,25,2.000000,0.700000,0.800000,0.500000
-0.089858,0.712661,-1.031628,49,25,2.000000,0.700000,0.800000,0.600000
0.089857,-0.712647,-1.031628,52,25,2.000000,0.700000,0.800000,0.700000
-0.089777,0.712656,-1.031628,52,25,2.000000,0.700000,0.800000,0.800000
0.089836,-0.712654,-1.031628,46,25,2.000000,0.700000,0.800000,0.900000
0.089859,-0.712661,-1.031628,50,25,2.000000,0.700000,0.800000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,0.900000,0.000000
-0.089864,0.712648,-1.031628,63,25,2.000000,0.700000,0.900000,0.100000
-0.089844,0.712663,-1.031628,61,25,2.000000,0.700000,0.900000,0.200000
0.089754,-0.712707,-1.031628,43,25,2.000000,0.700000,0.900000,0.300000
0.089834,-0.712663,-1.031628,52,25,2.000000,0.700000,0.900000,0.400000
0.089793,-0.712629,-1.031628,44,25,2.000000,0.700000,0.900000,0.500000
-0.089951,0.712784,-1.031628,43,25,2.000000,0.700000,0.900000,0.600000
0.089840,-0.712657,-1.031628,52,25,2.000000,0.700000,0.900000,0.700000
-0.089845,0.712657,-1.031628,56,25,2.000000,0.700000,0.900000,0.800000
0.089842,-0.712656,-1.031628,62,25,2.000000,0.700000,0.900000,0.900000
-0.089839,0.712668,-1.031628,56,25,2.000000,0.700000,0.900000,1.000000
-1.751093,-0.848878,2.811698,20,25,2.000000,0.700000,1.000000,0.000000
-0.089811,0.712655,-1.031628,67,25,2.000000,0.700000,1.000000,0.100000
-0.089842,0.712656,-1.031628,69,25,2.000000,0.700000,1.000000,0.200000
0.089839,-0.712655,-1.031628,64,25,2.000000,0.700000,1.000000,0.300000
0.089842,-0.712657,-1.031628,58,25,2.000000,0.700000,1.000000,0.400000
0.089847,-0.712651,-1.031628,48,25,2.000000,0.700000,1.000000,0.500000
-0.089842,0.712661,-1.031628,49,25,2.000000,0.700000,1.000000,0.600000
0.089830,-0.712657,-1.031628,61,25,2.000000,0.700000,1.000000,0.700000
-0.089848,0.712653,-1.031628,59,25,2.000000,0.700000,1.000000,0.800000
0.089834,-0.712659,-1.031628,57,25,2.000000,0.700000,1.000000,0.900000
-0.089840,0.712658,-1.031628,61,25,2.000000,0.700000,1.000000,1.000000
